,ML_Algorithm,subject,trainVersion,vtr,testVersion,vts,Accuracy,Precision,Recall,FMeasure,AUC,abs(ps-as)
33,svm,lafj,d7e,v3,be9,v4,0.7899093858373419,0.786641108817458,0.7899093858373419,0.7783911617998263,0.7346080881667302,0.11365924600067123
34,RandomForest,lafj,be9,v4,e4e,v5,0.890498838624046,0.8957509881422925,0.890498838624046,0.8893403151728374,0.8716682298296152,0.030527596504811405
35,svm,lafj,be9,v4,e4e,v5,0.8179404933082624,0.7929963287207004,0.8179404933082624,0.8045356907744171,0.7585860712610897,0.14224090255502708
36,RandomForest,lafj,e4e,v5,c8e,v6,0.9051834595224229,0.9164853556485356,0.9051834595224229,0.9043106461065369,0.8835041279837508,0.021432731508445046
37,svm,lafj,e4e,v5,c8e,v6,0.8003494467093768,0.7875581887431231,0.8003494467093768,0.7802059332292802,0.7125350137891999,0.15119394292370414
38,RandomForest,lang,294,v0,cff,v1,0.9444663563934684,0.9416027051688047,0.9444663563934684,0.9435504210852825,0.9184224600095419,0.03029107833083533
39,svm,lang,294,v0,cff,v1,0.9290841681785912,0.9182504556105181,0.9290841681785912,0.9268792757189043,0.888825675697661,0.05293050406247535
40,RandomForest,lang,cff,v1,951,v2,0.9439039698729013,0.9415442158696233,0.9439039698729013,0.9429982201427266,0.9180497582535054,0.029734818766671944
41,svm,lang,cff,v1,951,v2,0.9160128667817354,0.9035105623022758,0.9160128667817354,0.9127162745855145,0.8675578380691854,0.06437313667032796
42,RandomForest,lang,951,v2,959,v3,0.9444923897693394,0.9416946980618293,0.9444923897693394,0.9435810915668589,0.9185170887805202,0.030166326690726497
43,svm,lang,951,v2,959,v3,0.9316648360269889,0.9219481735872619,0.9316648360269889,0.9297076285246905,0.8936876601925327,0.04934881531460844
44,RandomForest,lang,959,v3,724,v4,0.9438977535578469,0.9415879117945433,0.9438977535578469,0.9429927446276085,0.91802974574768,0.029678127572823176
45,svm,lang,959,v3,724,v4,0.9284118085231505,0.9179869524697111,0.9284118085231505,0.9262010095056565,0.8881578156450991,0.05261300819382919
46,RandomForest,lang,724,v4,e09,v5,0.9401888772298006,0.93852177133485,0.9401888772298006,0.9391978789683508,0.9132980506307422,0.030507947611830066
47,svm,lang,724,v4,e09,v5,0.9258870622983949,0.9151257491164267,0.9258870622983949,0.9235004242106012,0.8843015979170927,0.054681123936108245
48,RandomForest,lang,e09,v5,e87,v6,0.9287014563106796,0.9257177578611575,0.9287014563106796,0.9270497881445885,0.8933593225387806,0.03997269417475735
49,svm,lang,e09,v5,e87,v6,0.9112560679611651,0.8987273879760105,0.9112560679611651,0.9073610157019224,0.8576213184636094,0.06879550970873793
50,RandomForest,msg,83f,v0,356,v1,0.8574468085106383,0.8386214442013129,0.8574468085106383,0.8570542072549149,0.8558558808606824,0.03677811550151977
51,svm,msg,83f,v0,356,v1,0.8265957446808511,0.7923848726524312,0.8265957446808511,0.8252132918892591,0.8236358889356412,0.07188449848024314
52,RandomForest,msg,356,v1,bae,v2,0.8919808497905446,0.8626038781163435,0.8919808497905446,0.8918069249396186,0.8920049852448214,0.04039497307001788
53,svm,msg,356,v1,bae,v2,0.8433572710951526,0.8041920933934731,0.8433572710951526,0.8427154071266842,0.8433956250179068,0.06418312387791741
54,RandomForest,msg,bae,v2,7d0,v3,0.7923418122567213,0.6556594390292421,0.7923418122567213,0.7968076537039437,0.806644625814554,0.10573006246039651
55,svm,msg,bae,v2,7d0,v3,0.6496786457861863,0.49921641259438665,0.6496786457861863,0.6512120383158444,0.7094988977771394,0.2860505114510727
56,RandomForest,msg,7d0,v3,648,v4,0.8877655677655678,0.8873664017539051,0.8877655677655678,0.8877090910837873,0.8870154649579902,0.008205128205128198
57,svm,msg,7d0,v3,648,v4,0.829010989010989,0.8053877139979859,0.829010989010989,0.8279692243643688,0.8255857701168113,0.055531135531135534
58,RandomForest,msg,648,v4,9f4,v5,0.8963931599367725,0.887253679221751,0.8963931599367725,0.8960446727561543,0.8927104584036951,0.026296881735881628
59,svm,msg,648,v4,9f4,v5,0.8298606121569191,0.8033991731740928,0.8298606121569191,0.8275237095944591,0.8205251117515533,0.07587297025434692
60,RandomForest,msg,9f4,v5,f15,v6,0.9125051588939331,0.8993773349937734,0.9125051588939331,0.9123362946493483,0.9108543611716072,0.02366212684000557
61,svm,msg,9f4,v5,f15,v6,0.8329894070711239,0.791140642303433,0.8329894070711239,0.8306232131799912,0.8271170363200451,0.09244737928188196
62,RandomForest,uaa,abe,v0,92b,v1,0.8364712210866057,0.7317073170731707,0.8364712210866057,0.8353049188363082,0.7958318834083362,0.013627398242782862
63,svm,uaa,abe,v0,92b,v1,0.7902097902097902,0.7020905923344948,0.7902097902097902,0.7779744245377352,0.7032660330145205,0.08714362560516406
64,RandomForest,uaa,92b,v1,9c2,v2,0.905372191011236,0.8527724665391969,0.905372191011236,0.9046845507462744,0.877921335673462,0.0135182584269663
65,svm,uaa,92b,v1,9c2,v2,0.8764044943820225,0.8388489208633093,0.8764044943820225,0.8730868939269749,0.8265376595712765,0.0449438202247191
66,RandomForest,uaa,9c2,v2,05f,v3,0.7746866401712015,0.608433734939759,0.7746866401712015,0.7460732879210016,0.6194155368031079,0.12595536533170285
67,svm,uaa,9c2,v2,05f,v3,0.7690308774075206,0.597544338335607,0.7690308774075206,0.7344154125621103,0.6022303467069862,0.14078263527973098
68,RandomForest,vrapt,71f,v0,585,v1,0.9141515761234071,0.9179890023566378,0.9141515761234071,0.9129242699229488,0.8884450709643381,0.030851777330650587
69,svm,vrapt,71f,v0,585,v1,0.8611670020120724,0.8690421805999695,0.8611670020120724,0.8574516633730193,0.8181244338945475,0.053431701319025304
70,RandomForest,vrapt,585,v1,6a4,v2,0.7437702640111162,0.9123844171593148,0.7437702640111162,0.7602328679385373,0.7550299165958717,0.14914312181565537
71,svm,vrapt,585,v1,6a4,v2,0.7991662806855026,0.8831366577845451,0.7991662806855026,0.8030812961475815,0.7460916379484547,0.03019916628068542
72,RandomForest,wire,3ca,v0,b98,v1,0.7354476114010438,0.6126984126984127,0.7354476114010438,0.7377110348041752,0.718962676587088,0.02930549979927738
73,svm,wire,3ca,v0,b98,v1,0.6575672420714572,0.5387755102040817,0.6575672420714572,0.5892348056710722,0.5407899881566943,0.2517061421116018
74,RandomForest,wire,b98,v1,239,v2,0.9434111594776414,0.9007551240560949,0.9434111594776414,0.9436930860614625,0.9431872736301573,0.016224772457459458
75,svm,wire,b98,v1,239,v2,0.9006727344677483,0.8555431131019037,0.9006727344677483,0.9007619993969823,0.8918459398896506,0.0027700831024930483
76,RandomForest,wire,239,v2,653,v3,0.9223338485316847,0.8644421272158499,0.9223338485316847,0.9228755829941013,0.9220484465508162,0.022797527047913435
77,svm,wire,239,v2,653,v3,0.8531684698608965,0.8631284916201117,0.8531684698608965,0.8486037717746384,0.8143048973143759,0.07109737248840803
